id,Type,StatUnmarrieds,City,State,PostalCode,GenderCode,BirthDate,MarriedaritalStatUnmarrieds,EnrolledDate,Living statUnmarrieds
0002A836-E8B8-11e8-A630-005056991469,Individual,Active,Hyderabad,TELANGANA,500018,MALE,6-Mar-91,Married,15-Nov-18,couple with children
0002A85A-E8B8-11e8-A630-005056991469,Individual,Active,Delhi,DELHI,110092,MALE,12-Dec-12,Married,15-Nov-18,couple with children
0002A929-E8B8-11e8-A630-005056991469,Individual,Active,Secunderabad,TELANGANA,500026,MALE,9-Jun-80,Married,15-Nov-18,couple with children
00045C97-A70D-11e9-886A-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500068,FEMALE,8-Nov-92,Married,15-Jul-19,couple with children
00045CB3-A70D-11e9-886A-005056984FDD,Individual,Active,Secunderabad,TELANGANA,500085,OTHER,8-Jul-70,Married,15-Jul-19,couple with children
00045DA0-A70D-11e9-886A-005056984FDD,Individual,Active,Chinsurah,WEST BENGAL,712233,MALE,1-Dec-88,Married,15-Jul-19,couple with children
00045DE9-A70D-11e9-886A-005056984FDD,Individual,Active,New Delhi,DELHI,110092,FEMALE,17-Aug-96,Married,15-Jul-19,couple with children
00045E12-A70D-11e9-886A-005056984FDD,Individual,Active,Guwahati,ASSAM,781006,MALE,2-Jun-82,Married,15-Jul-19,couple with children
00045E9E-A70D-11e9-886A-005056984FDD,Individual,Active,Mumbai,MAHARASHTRA,400068,FEMALE,15-May-78,Married,15-Jul-19,couple with children
00045F54-A70D-11e9-886A-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500023,FEMALE,23-Jan-88,Married,15-Jul-19,couple with children
00045FC1-A70D-11e9-886A-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500032,MALE,21-Jul-91,Married,15-Jul-19,couple with children
0004600A-A70D-11e9-886A-005056984FDD,Individual,Active,Mumbai,MAHARASHTRA,400051,FEMALE,20-Jan-77,Married,15-Jul-19,couple with children
000501B0-3C80-11ea-91EC-005056981C55,Individual,Active,Secunderabad,TELANGANA,500047,MALE,2-Mar-85,Married,21-Jan-20,couple with children
0007B801-1844-11ea-9298-005056981C55,Individual,Active,Hyderabad City,TELANGANA,500032,FEMALE,7-Mar-94,Married,6-Dec-19,couple with children
00092C8E-C4C6-11e8-8782-0050569D3164,Individual,Active,Secunderabad,TELANGANA,500049,MALE,31-Oct-92,Married,30-Sep-18,couple with children
00092D29-C4C6-11e8-8782-0050569D3164,Individual,Active,Secunderabad,TELANGANA,500090,MALE,6-May-84,Married,30-Sep-18,couple with children
00092D38-C4C6-11e8-8782-0050569D3164,Individual,Active,Goa,MAHARASHTRA,403601,MALE,19-Aug-79,Married,30-Sep-18,couple with children
00092D7B-C4C6-11e8-8782-0050569D3164,Individual,Active,Gurgaon,HARYANA,123023,MALE,28-Sep-89,Married,30-Sep-18,couple with children
00092D97-C4C6-11e8-8782-0050569D3164,Individual,Active,Guntur,ANDHRA PRADESH,522006,FEMALE,21-Dec-83,Married,30-Sep-18,couple with children
000A452B-3915-11e9-8AD0-005056991469,Individual,Active,Hyderabad,TELANGANA,500019,MALE,28-Jun-74,Married,25-Feb-19,couple with children
000A454C-3915-11e9-8AD0-005056991469,Individual,Active,Karimnagar,TELANGANA,505001,MALE,14-Jul-92,Married,25-Feb-19,couple with children
000A4653-3915-11e9-8AD0-005056991469,Individual,Active,Hyderabad,TELANGANA,500004,MALE,21-May-81,Married,25-Feb-19,couple with children
000A479F-3915-11e9-8AD0-005056991469,Individual,Active,Bengaluru,KARNATAKA,560077,FEMALE,27-Oct-77,Married,25-Feb-19,couple with children
000AEE2C-C9B5-11e8-A38A-0050568260A3,Individual,Active,Mumbai,MAHARASHTRA,400086,MALE,5-Apr-80,Married,6-Oct-18,couple with children
000AEFBA-C9B5-11e8-A38A-0050568260A3,Individual,Active,Secunderabad,TELANGANA,500010,MALE,2-Mar-81,Married,7-Oct-18,couple with children
000AEFE8-C9B5-11e8-A38A-0050568260A3,Individual,Active,Secunderabad,TELANGANA,500050,MALE,26-Jan-86,Married,7-Oct-18,couple with children
000AEFF9-C9B5-11e8-A38A-0050568260A3,Individual,Active,Bengaluru,KARNATAKA,560008,FEMALE,3-Sep-67,Married,7-Oct-18,couple with children
